idx	Train_S	Test_S	All_S	Train_T	Test_T	All_T	Train_T_10	Test_T_10	All_T_10	Other1	Other2
2610	0.99714285	0.984	0.9932	0.9817143	0.97866666	0.9808	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.9826087, 0.94100296, 0.9010989]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9935484, 0.9068323, 0.88235295]	[1.0, 1.0, 0.998, 1.0, 1.0, 1.0, 0.998, 0.986, 0.93, 0.896]	0.9829197	0.026224017
2620	0.99485713	0.982	0.991	0.98142856	0.97866666	0.9806	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.95652175, 0.96460176, 0.9010989]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.98630136, 0.9870968, 0.93167704, 0.875]	[1.0, 1.0, 0.998, 1.0, 1.0, 1.0, 0.994, 0.966, 0.954, 0.894]	0.95659256	0.0181458
2630	0.9937143	0.98466665	0.991	0.98085713	0.9773333	0.9798	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.9884058, 0.9439528, 0.88461536]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9254658, 0.8382353]	[1.0, 1.0, 0.998, 1.0, 1.0, 1.0, 0.998, 0.992, 0.938, 0.872]	0.9470291	0.021645188
2640	0.9942857	0.9826667	0.9908	0.9825714	0.9813333	0.9822	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.97971016, 0.96755165, 0.88736266]	[1.0, 1.0, 0.99333334, 1.0, 1.0, 1.0, 1.0, 0.9935484, 0.9627329, 0.85294116]	[1.0, 1.0, 0.996, 1.0, 1.0, 1.0, 0.998, 0.984, 0.966, 0.878]	0.9414635	0.020317137
2650	0.99314284	0.9813333	0.9896	0.97485715	0.9633333	0.9714	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.9478261, 0.8938053, 0.9120879]	[1.0, 1.0, 0.99333334, 1.0, 1.0, 1.0, 1.0, 0.9741936, 0.76397514, 0.9117647]	[1.0, 1.0, 0.996, 1.0, 1.0, 1.0, 0.998, 0.956, 0.852, 0.912]	0.96370316	0.03715855
2660	0.99485713	0.988	0.9928	0.9785714	0.96933335	0.9758	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.99130434, 0.90855455, 0.89285713]	[1.0, 1.0, 0.99333334, 1.0, 1.0, 1.0, 1.0, 1.0, 0.82608694, 0.875]	[1.0, 1.0, 0.996, 1.0, 1.0, 1.0, 0.998, 0.994, 0.882, 0.888]	0.9737072	0.033107877
2670	0.994	0.98066664	0.99	0.982	0.9813333	0.9818	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.98550725, 0.96460176, 0.8791209]	[1.0, 1.0, 0.99333334, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9503106, 0.8602941]	[1.0, 1.0, 0.996, 1.0, 1.0, 1.0, 0.998, 0.99, 0.96, 0.874]	0.95396614	0.021281242
2680	0.99314284	0.984	0.9904	0.9797143	0.97866666	0.9794	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.9942029, 0.9439528, 0.8681319]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.91925466, 0.8602941]	[1.0, 1.0, 0.998, 1.0, 1.0, 1.0, 0.998, 0.996, 0.936, 0.866]	0.8462601	0.02140838
2690	0.9917143	0.98333335	0.9892	0.9811429	0.97866666	0.9804	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.9942029, 0.9616519, 0.86538464]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.94409937, 0.8308824]	[1.0, 1.0, 0.998, 1.0, 1.0, 1.0, 0.998, 0.996, 0.956, 0.856]	0.93943596	0.01823008
2700	0.9951429	0.986	0.9924	0.98085713	0.98066664	0.9808	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.9942029, 0.95280236, 0.8708791]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.94409937, 0.85294116]	[1.0, 1.0, 0.998, 1.0, 1.0, 1.0, 0.998, 0.996, 0.95, 0.866]	1.0095539	0.0215742
2710	0.988	0.97866666	0.9852	0.9797143	0.97866666	0.9794	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.9942029, 0.9616519, 0.85164833]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9503106, 0.8235294]	[1.0, 1.0, 0.998, 1.0, 1.0, 1.0, 0.998, 0.996, 0.958, 0.844]	0.9325619	0.018093944
2720	0.99142855	0.97333336	0.986	0.9671429	0.9626667	0.9658	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.8057971, 0.9380531, 0.9313187]	[1.0, 1.0, 0.99333334, 1.0, 1.0, 1.0, 1.0, 0.81935483, 0.9006211, 0.9191176]	[1.0, 1.0, 0.996, 1.0, 1.0, 1.0, 0.998, 0.81, 0.926, 0.928]	0.97400475	0.025459468
2730	0.99628574	0.9813333	0.9918	0.9811429	0.97866666	0.9804	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.99717516, 0.9710145, 0.95280236, 0.89285713]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.98630136, 1.0, 0.91925466, 0.875]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.994, 0.98, 0.942, 0.888]	0.9112072	0.017770708
2740	0.9957143	0.9853333	0.9926	0.98228574	0.98	0.9816	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.9826087, 0.95280236, 0.8956044]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.93167704, 0.8602941]	[1.0, 1.0, 0.998, 1.0, 1.0, 1.0, 0.998, 0.988, 0.946, 0.886]	0.9607048	0.020104766
2750	0.99628574	0.9853333	0.993	0.9817143	0.9813333	0.9816	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.99130434, 0.9557522, 0.8791209]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9378882, 0.86764705]	[1.0, 1.0, 0.998, 1.0, 1.0, 1.0, 0.998, 0.994, 0.95, 0.876]	0.8705101	0.020642996
2760	0.9974286	0.986	0.994	0.9797143	0.978	0.9792	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.9768116, 0.9439528, 0.88461536]	[1.0, 1.0, 0.99333334, 1.0, 1.0, 1.0, 1.0, 0.9870968, 0.9130435, 0.88235295]	[1.0, 1.0, 0.996, 1.0, 1.0, 1.0, 0.998, 0.98, 0.934, 0.884]	0.9438667	0.030842602
2770	0.998	0.98733336	0.9948	0.9811429	0.9773333	0.98	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.99130434, 0.93510324, 0.89285713]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.88819873, 0.88235295]	[1.0, 1.0, 0.998, 1.0, 1.0, 1.0, 0.998, 0.994, 0.92, 0.89]	0.93323326	0.026947975
2780	0.99285716	0.98066664	0.9892	0.9825714	0.98066664	0.982	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.9826087, 0.9705015, 0.8818681]	[1.0, 1.0, 0.99333334, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9503106, 0.85294116]	[1.0, 1.0, 0.996, 1.0, 1.0, 1.0, 0.998, 0.988, 0.964, 0.874]	0.89421844	0.015992641
2790	0.994	0.9826667	0.9906	0.9794286	0.9726667	0.9774	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.9942029, 0.93510324, 0.87362635]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8819876, 0.8382353]	[1.0, 1.0, 0.998, 1.0, 1.0, 1.0, 0.998, 0.996, 0.918, 0.864]	0.85907364	0.021930635
2800	0.99	0.98	0.987	0.98314285	0.9813333	0.9826	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.9942029, 0.9882006, 0.8598901]	[1.0, 1.0, 0.99333334, 1.0, 1.0, 1.0, 1.0, 0.9935484, 0.98136646, 0.8308824]	[1.0, 1.0, 0.996, 1.0, 1.0, 1.0, 0.998, 0.994, 0.986, 0.852]	0.85754776	0.014277756
2810	0.99714285	0.9826667	0.9928	0.9797143	0.98	0.9798	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.96231884, 0.9587021, 0.88461536]	[1.0, 1.0, 0.99333334, 1.0, 1.0, 1.0, 1.0, 0.9870968, 0.9378882, 0.875]	[1.0, 1.0, 0.996, 1.0, 1.0, 1.0, 0.998, 0.97, 0.952, 0.882]	0.85217094	0.024849892
2820	0.99142855	0.98333335	0.989	0.98	0.98	0.98	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.9942029, 0.9587021, 0.85714287]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9378882, 0.85294116]	[1.0, 1.0, 0.998, 1.0, 1.0, 1.0, 0.998, 0.996, 0.952, 0.856]	0.90722466	0.01903075
2830	0.99885714	0.984	0.9944	0.9797143	0.9766667	0.9788	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.93333334, 0.9439528, 0.92582417]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9741936, 0.9006211, 0.8897059]	[1.0, 1.0, 0.998, 1.0, 1.0, 1.0, 0.998, 0.946, 0.93, 0.916]	0.89118576	0.023008704
2840	0.996	0.97466666	0.9896	0.9722857	0.974	0.9728	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.84927535, 0.96755165, 0.9120879]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.89032257, 0.95652175, 0.8897059]	[1.0, 1.0, 0.998, 1.0, 1.0, 1.0, 0.998, 0.862, 0.964, 0.906]	0.8399658	0.016472578
2850	0.99885714	0.984	0.9944	0.98228574	0.9813333	0.982	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.9681159, 0.9587021, 0.90384614]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9935484, 0.93167704, 0.88235295]	[1.0, 1.0, 0.998, 1.0, 1.0, 1.0, 0.998, 0.976, 0.95, 0.898]	0.93961906	0.020801902
2860	0.99628574	0.9853333	0.993	0.98285717	0.984	0.9832	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.99130434, 0.9616519, 0.88461536]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.95652175, 0.875]	[1.0, 1.0, 0.998, 1.0, 1.0, 1.0, 0.998, 0.994, 0.96, 0.882]	0.90961266	0.019663036
2870	0.992	0.982	0.989	0.98085713	0.98066664	0.9808	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.9942029, 0.9616519, 0.86263734]	[1.0, 1.0, 0.99333334, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9627329, 0.8382353]	[1.0, 1.0, 0.996, 1.0, 1.0, 1.0, 0.998, 0.996, 0.962, 0.856]	0.87657166	0.017414987
2880	0.99485713	0.986	0.9922	0.9785714	0.97066665	0.9762	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.99130434, 0.91150445, 0.8901099]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.82608694, 0.88235295]	[1.0, 1.0, 0.998, 1.0, 1.0, 1.0, 0.998, 0.994, 0.884, 0.888]	0.88928795	0.030952156
2890	0.9982857	0.98	0.9928	0.9797143	0.97933334	0.9796	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.99717516, 0.942029, 0.9587021, 0.9010989]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9741936, 0.9378882, 0.875]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.998, 0.952, 0.952, 0.894]	0.86585236	0.017766416
2900	0.9951429	0.98333335	0.9916	0.98085713	0.978	0.98	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.9942029, 0.9380531, 0.88461536]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9130435, 0.8602941]	[1.0, 1.0, 0.998, 1.0, 1.0, 1.0, 0.998, 0.996, 0.93, 0.878]	0.8495331	0.021593332
2910	0.99542856	0.9853333	0.9924	0.9825714	0.984	0.983	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.9826087, 0.96755165, 0.88461536]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9689441, 0.8602941]	[1.0, 1.0, 0.998, 1.0, 1.0, 1.0, 0.998, 0.988, 0.968, 0.878]	0.81962395	0.017178655
2920	0.994	0.98933333	0.9926	0.9777143	0.972	0.976	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.9942029, 0.9174041, 0.87362635]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8447205, 0.875]	[1.0, 1.0, 0.998, 1.0, 1.0, 1.0, 0.998, 0.996, 0.894, 0.874]	0.8328991	0.030058324
2930	0.9965714	0.98466665	0.993	0.97742856	0.9713333	0.9756	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.9536232, 0.9144543, 0.9120879]	[1.0, 1.0, 0.99333334, 1.0, 1.0, 1.0, 1.0, 0.9806452, 0.8509317, 0.8897059]	[1.0, 1.0, 0.996, 1.0, 1.0, 1.0, 0.998, 0.962, 0.894, 0.906]	0.9118881	0.031238377
2940	0.9994286	0.98333335	0.9946	0.98085713	0.98066664	0.9808	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.9449275, 0.9616519, 0.9093407]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9806452, 0.9378882, 0.88235295]	[1.0, 1.0, 0.998, 1.0, 1.0, 1.0, 0.998, 0.956, 0.954, 0.902]	0.8544769	0.019004345
2950	0.9925714	0.98333335	0.9898	0.98085713	0.9773333	0.9798	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.9942029, 0.95280236, 0.8708791]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.93167704, 0.8308824]	[1.0, 1.0, 0.998, 1.0, 1.0, 1.0, 0.998, 0.996, 0.946, 0.86]	0.74619865	0.016393363
2960	0.99457145	0.98466665	0.9916	0.97828573	0.966	0.9746	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.99717516, 0.99130434, 0.9056047, 0.8901099]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7950311, 0.86764705]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.998, 0.994, 0.87, 0.884]	0.87810326	0.027931571
2970	0.9957143	0.9853333	0.9926	0.9834286	0.982	0.983	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.9884058, 0.9734513, 0.8818681]	[1.0, 1.0, 0.9866667, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9689441, 0.85294116]	[1.0, 1.0, 0.994, 1.0, 1.0, 1.0, 0.998, 0.992, 0.972, 0.874]	0.92601204	0.019312084
2980	0.9894286	0.982	0.9872	0.98057145	0.98066664	0.9806	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.9942029, 0.9705015, 0.85164833]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.95652175, 0.8382353]	[1.0, 1.0, 0.998, 1.0, 1.0, 1.0, 0.998, 0.996, 0.966, 0.848]	0.8818321	0.015973747
2990	0.9994286	0.98733336	0.9958	0.9817143	0.97933334	0.981	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.9681159, 0.94690263, 0.9093407]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9068323, 0.88235295]	[1.0, 1.0, 0.998, 1.0, 1.0, 1.0, 0.998, 0.978, 0.934, 0.902]	0.85595703	0.02342081
3000	0.9997143	0.986	0.9956	0.98142856	0.97866666	0.9806	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.9536232, 0.9498525, 0.9175824]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9870968, 0.9130435, 0.88235295]	[1.0, 1.0, 0.998, 1.0, 1.0, 1.0, 0.998, 0.964, 0.938, 0.908]	0.8173466	0.021511674
3010	0.9925714	0.98333335	0.9898	0.982	0.982	0.982	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.9942029, 0.96755165, 0.8681319]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9503106, 0.8602941]	[1.0, 1.0, 0.998, 1.0, 1.0, 1.0, 0.998, 0.996, 0.962, 0.866]	0.8392601	0.016961873
3020	0.9965714	0.9853333	0.9932	0.98457146	0.9826667	0.984	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.98550725, 0.96755165, 0.9010989]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9503106, 0.86764705]	[1.0, 1.0, 0.998, 1.0, 1.0, 1.0, 0.998, 0.99, 0.962, 0.892]	0.8567085	0.017380238
3030	0.9991429	0.9826667	0.9942	0.98057145	0.978	0.9798	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.9478261, 0.9557522, 0.9093407]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9806452, 0.91925466, 0.875]	[1.0, 1.0, 0.998, 1.0, 1.0, 1.0, 0.998, 0.958, 0.944, 0.9]	0.85676	0.018894196
3040	0.99628574	0.9853333	0.993	0.9842857	0.9826667	0.9838	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.9826087, 0.96755165, 0.9010989]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9503106, 0.86764705]	[1.0, 1.0, 0.998, 1.0, 1.0, 1.0, 0.998, 0.988, 0.962, 0.892]	0.8850975	0.0144732
3050	0.9997143	0.982	0.9944	0.9811429	0.97933334	0.9806	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.9449275, 0.9616519, 0.9120879]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9806452, 0.93167704, 0.875]	[1.0, 1.0, 0.998, 1.0, 1.0, 1.0, 0.998, 0.956, 0.952, 0.902]	0.8123436	0.017692447
3060	0.99714285	0.98866665	0.9946	0.9817143	0.9773333	0.9804	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.99130434, 0.9380531, 0.8956044]	[1.0, 1.0, 0.99333334, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9006211, 0.875]	[1.0, 1.0, 0.996, 1.0, 1.0, 1.0, 0.998, 0.994, 0.926, 0.89]	0.86717033	0.02527386
3070	0.99685717	0.98466665	0.9932	0.9834286	0.9813333	0.9828	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.99717516, 0.9884058, 0.9557522, 0.8956044]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.93167704, 0.875]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.998, 0.992, 0.948, 0.89]	0.8682842	0.015946567
3080	0.99685717	0.9826667	0.9926	0.98457146	0.982	0.9838	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.9768116, 0.97640115, 0.9010989]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9931507, 1.0, 0.95652175, 0.8602941]	[1.0, 1.0, 0.998, 1.0, 1.0, 1.0, 0.996, 0.984, 0.97, 0.89]	0.8217411	0.012726665
