idx	Train_S	Test_S	All_S	Train_T	Test_T	All_T	Train_T_10	Test_T_10	All_T_10	Other1	Other2
1570	0.97514284	0.96933335	0.9734	0.8602857	0.8526667	0.858	[1.0, 1.0, 0.08, 1.0, 1.0, 1.0, 0.99435025, 1.0, 0.79646015, 0.73626375]	[1.0, 1.0, 0.033333335, 1.0, 1.0, 1.0, 1.0, 1.0, 0.76397514, 0.7205882]	[1.0, 1.0, 0.066, 1.0, 1.0, 1.0, 0.996, 1.0, 0.786, 0.732]	4.561513	0.13246381
1580	0.9737143	0.9686667	0.9722	0.89685714	0.87866664	0.8914	[1.0, 1.0, 0.38, 1.0, 1.0, 1.0, 1.0, 1.0, 0.78466076, 0.80494505]	[1.0, 1.0, 0.27333334, 1.0, 1.0, 1.0, 0.9931507, 1.0, 0.7453416, 0.77205884]	[1.0, 1.0, 0.348, 1.0, 1.0, 1.0, 0.998, 1.0, 0.772, 0.796]	4.297538	0.11858351
1590	0.9685714	0.96066666	0.9662	0.9282857	0.9253333	0.9274	[1.0, 1.0, 0.86, 1.0, 1.0, 1.0, 1.0, 1.0, 0.6135693, 0.80494505]	[1.0, 1.0, 0.88666666, 1.0, 1.0, 1.0, 1.0, 1.0, 0.59006214, 0.7867647]	[1.0, 1.0, 0.868, 1.0, 1.0, 1.0, 1.0, 1.0, 0.606, 0.8]	3.9229546	0.096990615
1600	0.9728571	0.968	0.9714	0.96085715	0.95933336	0.9604	[1.0, 1.0, 0.9771429, 1.0, 1.0, 1.0, 0.99435025, 1.0, 0.81710917, 0.8214286]	[1.0, 1.0, 0.9866667, 1.0, 1.0, 1.0, 0.9931507, 1.0, 0.78881985, 0.8235294]	[1.0, 1.0, 0.98, 1.0, 1.0, 1.0, 0.994, 1.0, 0.808, 0.822]	3.7139568	0.087464795
1610	0.9762857	0.97	0.9744	0.9602857	0.954	0.9584	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8023599, 0.80494505]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7515528, 0.7867647]	[1.0, 1.0, 0.998, 1.0, 1.0, 1.0, 1.0, 1.0, 0.786, 0.8]	3.4797592	0.07667662
1620	0.97485715	0.96933335	0.9732	0.9257143	0.9173333	0.9232	[1.0, 1.0, 0.64857143, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7935103, 0.81593406]	[1.0, 1.0, 0.61333334, 1.0, 1.0, 1.0, 1.0, 1.0, 0.757764, 0.8014706]	[1.0, 1.0, 0.638, 1.0, 1.0, 1.0, 1.0, 1.0, 0.782, 0.812]	3.1368256	0.09379618
1630	0.9768571	0.9726667	0.9756	0.9657143	0.9586667	0.9636	[1.0, 1.0, 0.9942857, 1.0, 1.0, 1.0, 1.0, 1.0, 0.85545725, 0.8104396]	[1.0, 1.0, 0.9866667, 1.0, 0.99333334, 1.0, 0.9931507, 1.0, 0.82608694, 0.7794118]	[1.0, 1.0, 0.992, 1.0, 0.998, 1.0, 0.998, 1.0, 0.846, 0.802]	3.0914888	0.077243686
1640	0.97571427	0.97333336	0.975	0.958	0.96066666	0.9588	[1.0, 1.0, 0.95428574, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8938053, 0.739011]	[1.0, 1.0, 0.94, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9006211, 0.75]	[1.0, 1.0, 0.95, 1.0, 1.0, 1.0, 1.0, 1.0, 0.896, 0.742]	2.9495535	0.0774197
1650	0.968	0.96466666	0.967	0.95	0.94266665	0.9478	[1.0, 1.0, 0.98, 1.0, 1.0, 1.0, 1.0, 1.0, 0.77286136, 0.75]	[1.0, 1.0, 0.9866667, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7329193, 0.6985294]	[1.0, 1.0, 0.982, 1.0, 1.0, 1.0, 1.0, 1.0, 0.76, 0.736]	2.721592	0.072178334
1660	0.9737143	0.97533333	0.9742	0.95342857	0.95	0.9524	[1.0, 1.0, 0.8657143, 1.0, 1.0, 1.0, 1.0, 1.0, 0.89675516, 0.77747256]	[1.0, 1.0, 0.8466667, 1.0, 1.0, 1.0, 1.0, 1.0, 0.88819873, 0.75]	[1.0, 1.0, 0.86, 1.0, 1.0, 1.0, 1.0, 1.0, 0.894, 0.77]	2.7017498	0.08164108
